gadget_id,gadget_name,identifier,labels
590, iphone5c  at&t  32gb  pink,iphone5c at&t  32gb,
591, iphone5c  at&t  32gb  green,iphone5c at&t  32gb,
592, iphone5c  at&t  32gb  white,iphone5c at&t  32gb,
588, iphone5c  unlocked  32gb  blue,iphone5c unlocked  32gb,
605, iphone5c  unlocked  32gb  yellow,iphone5c unlocked  32gb,
606, iphone5c  unlocked  32gb  pink,iphone5c unlocked  32gb,
607, iphone5c  unlocked  32gb  green,iphone5c unlocked  32gb,
608, iphone5c  unlocked  32gb  white,iphone5c unlocked  32gb,
587, iphone5c  sprint  32gb  blue,iphone5c sprint  32gb,
601, iphone5c  sprint  32gb  yellow,iphone5c sprint  32gb,
602, iphone5c  sprint  32gb  pink,iphone5c sprint  32gb,
603, iphone5c  sprint  32gb  green,iphone5c sprint  32gb,
604, iphone5c  sprint  32gb  white,iphone5c sprint  32gb,
586, iphone5c  tmobile  32gb  blue,iphone5c tmobile  32gb,
597, iphone5c  tmobile  32gb  yellow,iphone5c tmobile  32gb,
598, iphone5c  tmobile  32gb  pink,iphone5c tmobile  32gb,
599, iphone5c  tmobile  32gb  green,iphone5c tmobile  32gb,
600, iphone5c  tmobile  32gb  white,iphone5c tmobile  32gb,
610,iphone5s  verizon  64gb  silver,iphone5s verizon  64gb,
616,iphone5s  verizon  64gb  gold,iphone5s verizon  64gb,
617,iphone5s  verizon  64gb  space gray,iphone5s verizon  64gb,
609,iphone5s  at&t  64gb  silver,iphone5s at&t  64gb,
614,iphone5s  at&t  64gb  gold,iphone5s at&t  64gb,
615,iphone5s  at&t  64gb  space gray,iphone5s at&t  64gb,
613,iphone5s  unlocked  64gb  silver,iphone5s unlocked  64gb,
622,iphone5s  unlocked  64gb  gold,iphone5s unlocked  64gb,
623,iphone5s  unlocked  64gb  space gray,iphone5s unlocked  64gb,
612,iphone5s  sprint  64gb  silver,iphone5s sprint  64gb,
620,iphone5s  sprint  64gb  gold,iphone5s sprint  64gb,
621,iphone5s  sprint  64gb  space gray,iphone5s sprint  64gb,
611,iphone5s  tmobile  64gb  silver,iphone5s tmobile  64gb,
618,iphone5s  tmobile  64gb  gold,iphone5s tmobile  64gb,
619,iphone5s  tmobile  64gb  space gray,iphone5s tmobile  64gb,
625,iphone5  verizon  64gb  black,iphone5 verizon  64gb,
630,iphone5  verizon  64gb  white,iphone5 verizon  64gb,
624,iphone5  at&t  64gb  black,iphone5 at&t  64gb,
629,iphone5  at&t  64gb  white,iphone5 at&t  64gb,
628,iphone5  unlocked  64gb  black,iphone5 unlocked  64gb,
633,iphone5  unlocked  64gb  white,iphone5 unlocked  64gb,
627,iphone5  sprint  64gb  black,iphone5 sprint  64gb,
632,iphone5  sprint  64gb  white,iphone5 sprint  64gb,
626,iphone5  tmobile  64gb  black,iphone5 tmobile  64gb,
631,iphone5  tmobile  64gb  white,iphone5 tmobile  64gb,
670,iphone4  at&t  8gb  white,iphone4 at&t  8gb,
671,iphone4  at&t  16gb  white,iphone4 at&t  16gb,
672,iphone4  at&t  32gb  white,iphone4 at&t  32gb,
676,iphone4  unlocked  8gb  white,iphone4 unlocked  8gb,
677,iphone4  unlocked  16gb  white,iphone4s unlocked  16gb,
678,iphone4  unlocked  32gb  white,iphone4 unlocked  32gb,
679,iphone4  at&t  8gb  black,iphone4 at&t  8gb,
680,iphone4  at&t  16gb  black,iphone4 at&t  16gb,
681,iphone4  at&t  32gb  black,iphone4 at&t  32gb,
685,iphone4  unlocked  8gb  black,iphone4 unlocked  8gb,
686,iphone4  unlocked  16gb  black,iphone4s unlocked  16gb,
687,iphone4  unlocked  32gb  black,iphone4 unlocked  32gb,
690,iphone4s  at&t  16gb  white,iphone4s at&t  16gb,
691,iphone4s  at&t  32gb  white,iphone4s at&t  32gb,
692,iphone4s  at&t  64gb  white,iphone4s at&t  64gb,
694,iphone4s  sprint  16gb  white,iphone4s sprint  16gb,
695,iphone4s  sprint  32gb  white,iphone4s sprint  32gb,
696,iphone4s  sprint  64gb  white,iphone4s sprint  64gb,
698,iphone4s  verizon  16gb  white,iphone4s verizon  16gb,
699,iphone4s  verizon  32gb  white,iphone4s verizon  32gb,
700,iphone4s  verizon  64gb  white,iphone4s verizon  64gb,
702,iphone4s  unlocked  16gb  white,iphone4s unlocked  16gb,
703,iphone4s  unlocked  32gb  white,iphone4s unlocked  32gb,
704,iphone4s  unlocked  64gb  white,iphone4s unlocked  64gb,
706,iphone4s  at&t  16gb  black,iphone4s at&t  16gb,
707,iphone4s  at&t  32gb  black,iphone4s at&t  32gb,
708,iphone4s  at&t  64gb  black,iphone4s at&t  64gb,
710,iphone4s  sprint  16gb  black,iphone4s sprint  16gb,
711,iphone4s  sprint  32gb  black,iphone4s sprint  32gb,
712,iphone4s  sprint  64gb  black,iphone4s sprint  64gb,
714,iphone4s  verizon  16gb  black,iphone4s verizon  16gb,
715,iphone4s  verizon  32gb  black,iphone4s verizon  32gb,
716,iphone4s  verizon  64gb  black,iphone4s verizon  64gb,
718,iphone4s  unlocked  16gb  black,iphone4s unlocked  16gb,
719,iphone4s  unlocked  32gb  black,iphone4s unlocked  32gb,
720,iphone4s  unlocked  64gb  black,iphone4s unlocked  64gb,
828,iphone 6s  at&t  16gb,iphone6s at&t  16gb,
829,iphone 6s  at&t  64gb,iphone6s at&t  64gb,
830,iphone 6s  at&t  128gb,iphone6s at&t  128gb,
831,iphone 6s  verizon  16gb,iphone6s verizon  16gb,
832,iphone 6s  verizon  64gb,iphone6s verizon  64gb,
833,iphone 6s  verizon  128gb,iphone6s verizon  128gb,
834,iphone 6s  tmobile  16gb,iphone6s tmobile  64gb,
835,iphone 6s  tmobile  64gb,iphone6s tmobile  64gb,
836,iphone 6s  tmobile  128gb,iphone6s tmobile  128gb,
837,iphone 6s  sprint  16gb,iphone6s sprint  16gb,
838,iphone 6s  sprint  64gb,iphone6s sprint  64gb,
839,iphone 6s  sprint  128gb,iphone6s sprint  128gb,
840,iphone 6s  unlocked  16gb,iphone6s unlocked  16gb,
841,iphone 6s  unlocked  64gb,iphone6s unlocked  64gb,
842,iphone 6s  unlocked  128gb,iphone6s unlocked  128gb,
843,iphone 6s plus  at&t  64gb,iphone6s+ at&t  64gb,
844,iphone 6s plus  at&t  128gb,iphone6s+ at&t  128gb,
845,iphone 6s plus  at&t  16gb,iphone6s+ at&t  16gb,
846,iphone 6s plus  verizon  64gb,iphone6s+ verizon  64gb,
847,iphone 6s plus  verizon  128gb,iphone6s+ verizon  128gb,
848,iphone 6s plus  verizon  16gb,iphone6s+ verizon  16gb,
849,iphone 6s plus  tmobile  64gb,iphone6s+ tmobile  64gb,
850,iphone 6s plus  tmobile  128gb,iphone6s+ tmobile  128gb,
851,iphone 6s plus  tmobile  16gb,iphone6s+ tmobile  16gb,
852,iphone 6s plus  sprint  64gb,iphone6s+ sprint  64gb,
853,iphone 6s plus  sprint  128gb,iphone6s+ sprint  128gb,
854,iphone 6s plus  sprint  16gb,iphone6s+ sprint  16gb,
855,iphone 6s plus  unlocked  64gb,iphone6s unlocked  64gb,
856,iphone 6s plus  unlocked  128gb,iphone6s unlocked  128gb,
857,iphone 6s plus  unlocked  16gb,iphone6s+ unlocked  16gb,
156,iphone5s  at&t  16gb  gold,iphone5s at&t  16gb,
1,iphone 6  at&t  16gb  silver,iphone6 att 16gb,
2,iphone 6  verizon  16gb  silver,iphone6 verizon 16gb,
3,iphone 6  tmobile  16gb  silver,iphone6 tmobile 16gb,
4,iphone 6  sprint  16gb  silver,iphone6 sprint 16gb,
5,iphone 6  unlocked  16gb  silver,iphone6 unlocked 16gb,
6,iphone 6  at&t  128gb  silver,iphone6 att 128gb,
7,iphone 6  at&t  64gb  silver,iphone6 att 64gb,
8,iphone 6  verizon  128gb  silver,iphone6 verizon 128gb,
9,iphone 6  verizon  64gb  silver,iphone6 verizon 64gb,
10,iphone 6  tmobile  128gb  silver,iphone6 tmobile 128gb,
11,iphone 6  tmobile  64gb  silver,iphone6 tmobile 64gb,
12,iphone 6  sprint  128gb  silver,iphone6 sprint 128gb,
13,iphone 6  sprint  64gb  silver,iphone6 sprint 64gb,
14,iphone 6  unlocked  128gb  silver,iphone6 unlocked 128gb,
15,iphone 6  unlocked  64gb  silver,iphone6 unlocked 64gb,
16,iphone 6  at&t  16gb  gold,iphone6 att 16gb,
17,iphone 6  at&t  16gb  space gray,iphone6 att 16gb,
18,iphone 6  verizon  16gb  gold,iphone6 verizon 16gb,
19,iphone 6  verizon  16gb  space gray,iphone6 verizon 16gb,
20,iphone 6  tmobile  16gb  gold,iphone6 tmobile 16gb,
21,iphone 6  tmobile  16gb  space gray,iphone6 tmobile 16gb,
22,iphone 6  sprint  16gb  gold,iphone6 sprint 16gb,
23,iphone 6  sprint  16gb  space gray,iphone6 sprint 16gb,
24,iphone 6  unlocked  16gb  gold,iphone6 unlocked 16gb,
25,iphone 6  unlocked  16gb  space gray,iphone6 unlocked 16gb,
26,iphone 6  at&t  128gb  gold,iphone6 att 128gb,
27,iphone 6  at&t  128gb  space gray,iphone6 att 128gb,
28,iphone 6  at&t  64gb  gold,iphone6 att 64gb,
29,iphone 6  at&t  64gb  space gray,iphone6 att 64gb,
30,iphone 6  verizon  128gb  gold,iphone6 verizon 128gb,
31,iphone 6  verizon  128gb  space gray,iphone6 verizon 128gb,
32,iphone 6  verizon  64gb  gold,iphone6 verizon 64gb,
33,iphone 6  verizon  64gb  space gray,iphone6 verizon 64gb,
34,iphone 6  tmobile  128gb  gold,iphone6 tmobile 128gb,
35,iphone 6  tmobile  128gb  space gray,iphone6 tmobile 128gb,
36,iphone 6  tmobile  64gb  gold,iphone6 tmobile 64gb,
37,iphone 6  tmobile  64gb  space gray,iphone6 tmobile 64gb,
38,iphone 6  sprint  128gb  gold,iphone6 sprint 128gb,
39,iphone 6  sprint  128gb  space gray,iphone6 sprint 128gb,
40,iphone 6  sprint  64gb  gold,iphone6 sprint 64gb,
41,iphone 6  sprint  64gb  space gray,iphone6 sprint 64gb,
42,iphone 6  unlocked  128gb  gold,iphone6 unlocked 128gb,
43,iphone 6  unlocked  128gb  space gray,iphone6 unlocked 128gb,
44,iphone 6  unlocked  64gb  gold,iphone6 unlocked 64gb,
45,iphone 6  unlocked  64gb  space gray,iphone6 unlocked 64gb,
46,iphone 6 plus  at&t  16gb  silver,iphone6 plus att 16gb,
47,iphone 6 plus  verizon  16gb  silver,iphone6 plus verizon 16gb,
48,iphone 6 plus  tmobile  16gb  silver,iphone6 plus tmobile 16gb,
49,iphone 6 plus  sprint  16gb  silver,iphone6 plus sprint 16gb,
50,iphone 6 plus  unlocked  16gb  silver,iphone6 plus unlocked 16gb,
51,iphone 6 plus  at&t  128gb  silver,iphone6 plus att 128gb,
52,iphone 6 plus  at&t  64gb  silver,iphone6 plus att 64gb,
53,iphone 6 plus  verizon  128gb  silver,iphone6 plus verizon 128gb,
54,iphone 6 plus  verizon  64gb  silver,iphone6 plus verizon 64gb,
55,iphone 6 plus  tmobile  128gb  silver,iphone6 plus tmobile 128gb,
56,iphone 6 plus  tmobile  64gb  silver,iphone6 plus tmobile 64gb,
57,iphone 6 plus  sprint  128gb  silver,iphone6 plus sprint 128gb,
58,iphone 6 plus  sprint  64gb  silver,iphone6 plus sprint 64gb,
59,iphone 6 plus  unlocked  128gb  silver,iphone6 plus unlocked 128gb,
60,iphone 6 plus  unlocked  64gb  silver,iphone6 plus unlocked 64gb,
61,iphone 6 plus  at&t  16gb  gold,iphone6 plus att 16gb,
62,iphone 6 plus  at&t  16gb  space gray,iphone6 plus att 16gb,
63,iphone 6 plus  verizon  16gb  gold,iphone6 plus verizon 16gb,
64,iphone 6 plus  verizon  16gb  space gray,iphone6 plus verizon 16gb,
65,iphone 6 plus  tmobile  16gb  gold,iphone6 plus tmobile 16gb,
66,iphone 6 plus  tmobile  16gb  space gray,iphone6 plus tmobile 16gb,
67,iphone 6 plus  sprint  16gb  gold,iphone6 plus sprint 16gb,
68,iphone 6 plus  sprint  16gb  space gray,iphone6 plus sprint 16gb,
69,iphone 6 plus  unlocked  16gb  gold,iphone6 plus unlocked 16gb,
70,iphone 6 plus  unlocked  16gb  space gray,iphone6 plus unlocked 16gb,
71,iphone 6 plus  at&t  128gb  gold,iphone6 plus att 128gb,
72,iphone 6 plus  at&t  128gb  space gray,iphone6 plus att 128gb,
73,iphone 6 plus  at&t  64gb  gold,iphone6 plus att 64gb,
74,iphone 6 plus  at&t  64gb  space gray,iphone6 plus att 64gb,
75,iphone 6 plus  verizon  128gb  gold,iphone6 plus verizon 128gb,
76,iphone 6 plus  verizon  128gb  space gray,iphone6 plus verizon 128gb,
77,iphone 6 plus  verizon  64gb  gold,iphone6 plus verizon 64gb,
78,iphone 6 plus  verizon  64gb  space gray,iphone6 plus verizon 64gb,
79,iphone 6 plus  tmobile  128gb  gold,iphone6 plus tmobile 128gb,
80,iphone 6 plus  tmobile  128gb  space gray,iphone6 plus tmobile 128gb,
81,iphone 6 plus  tmobile  64gb  gold,iphone6 plus tmobile 64gb,
82,iphone 6 plus  tmobile  64gb  space gray,iphone6 plus tmobile 64gb,
83,iphone 6 plus  sprint  128gb  gold,iphone6 plus sprint 128gb,
84,iphone 6 plus  sprint  128gb  space gray,iphone6 plus sprint 128gb,
85,iphone 6 plus  sprint  64gb  gold,iphone6 plus sprint 64gb,
86,iphone 6 plus  sprint  64gb  space gray,iphone6 plus sprint 64gb,
87,iphone 6 plus  unlocked  128gb  gold,iphone6 plus unlocked 128gb,
88,iphone 6 plus  unlocked  128gb  space gray,iphone6 plus unlocked 128gb,
89,iphone 6 plus  unlocked  64gb  gold,iphone6 plus unlocked 64gb,
90,iphone 6 plus  unlocked  64gb  space gray,iphone6 plus unlocked 64gb,
91,iphone5  at&t  16gb  black,iphone5 att 16gb,
92,iphone5  verizon  16gb  black,iphone5 verizon 16gb,
93,iphone5  tmobile  16gb  black,iphone5 tmobile 16gb,
94,iphone5  sprint  16gb  black,iphone5 sprint 16gb,
95,iphone5  unlocked  16gb  black,iphone5 unlocked 16gb,
96,iphone5  at&t  32gb  black,iphone5 att 32gb,
97,iphone5  verizon  32gb  black,iphone5 verizon 32gb,
98,iphone5  tmobile  32gb  black,iphone5 tmobile 32gb,
99,iphone5  sprint  32gb  black,iphone5 sprint 32gb,
100,iphone5  unlocked  32gb  black,iphone5 unlocked 32gb,
101,iphone5  at&t  16gb  white,iphone5 att 16gb,
103,iphone5  verizon  16gb  white,iphone5 verizon 16gb,
105,iphone5  tmobile  16gb  white,iphone5 tmobile 16gb,
107,iphone5  sprint  16gb  white,iphone5 sprint 16gb,
109,iphone5  unlocked  16gb  white,iphone5 unlocked 16gb,
111,iphone5  at&t  32gb  white,iphone5 att 32gb,
113,iphone5  verizon  32gb  white,iphone5 verizon 32gb,
115,iphone5  tmobile  32gb  white,iphone5 tmobile 32gb,
117,iphone5  sprint  32gb  white,iphone5 sprint 32gb,
119,iphone5  unlocked  32gb  white,iphone5 unlocked 32gb,
121, iphone5c  at&t  8gb  blue, iphone5c att 8gb,
122, iphone5c  verizon  8gb  blue, iphone5c verizon 8gb,
123, iphone5c  tmobile  8gb  blue, iphone5c tmobile 8gb,
